Location,Month,Avg temp (°C),Avg high (°C),Avg low (°C),Daylight (h/day),Cloud cover (%),Rainfall (mm),Source URL
"Madeira, Portugal",Jun,20.6,23.3,18.3,14.3,17.0,2.5,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",Jul,22.2,25.0,20.0,14.0,6.0,0.0,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",Aug,23.3,26.1,21.1,13.3,10.0,2.5,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",Sep,22.8,25.6,20.6,12.3,28.0,7.6,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",Oct,21.7,23.9,19.4,11.3,43.0,22.9,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",Nov,19.4,21.7,17.2,10.5,48.0,30.5,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Madeira, Portugal",Dec,17.8,20.0,16.1,10.0,51.0,33.0,https://weatherspark.com/y/150434/Average-Weather-in-Ilha-da-Madeira-Portugal-Year-Round
"Tokyo, Japan",Jan,5.6,9.4,2.8,10.1,28.0,48.3,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Feb,6.1,10.0,3.3,10.9,35.0,63.5,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Mar,9.4,12.8,6.1,12.0,45.0,99.1,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Apr,14.4,18.3,11.1,13.1,52.0,111.8,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",May,18.9,22.2,16.1,14.1,58.0,116.8,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Jun,22.2,25.0,20.0,14.5,69.0,152.4,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Jul,25.6,28.9,23.3,14.3,66.0,134.6,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Aug,27.2,30.0,24.4,13.4,52.0,127.0,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Sep,23.9,26.7,21.1,12.4,53.0,185.4,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Oct,18.3,21.1,15.0,11.3,42.0,154.9,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Nov,12.8,16.1,9.4,10.3,34.0,83.8,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Tokyo, Japan",Dec,8.3,11.7,5.0,9.8,26.0,48.3,https://weatherspark.com/y/143809/Average-Weather-in-Tokyo-Japan-Year-Round
"Phoenix, Arizona, United States",Jan,12.8,19.4,7.8,10.2,34.0,25.4,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Feb,15.0,21.7,9.4,11.0,37.0,27.9,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Mar,18.3,25.6,12.2,12.0,30.0,22.9,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Apr,22.8,30.0,16.1,13.1,25.0,7.6,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",May,27.8,35.0,21.1,13.9,21.0,2.5,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Jun,33.3,40.0,26.1,14.3,16.0,2.5,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Jul,35.0,41.1,29.4,14.1,30.0,15.2,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Aug,33.9,40.0,28.9,13.3,29.0,25.4,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Sep,31.1,37.2,25.0,12.3,16.0,17.8,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Oct,24.4,31.1,18.3,11.3,20.0,12.7,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Nov,17.2,23.9,11.7,10.4,28.0,17.8,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Phoenix, Arizona, United States",Dec,12.8,18.9,7.8,10.0,34.0,25.4,https://weatherspark.com/y/2460/Average-Weather-in-Phoenix-Arizona-United-States-Year-Round
"Belize City, Belize",Jan,23.9,27.2,21.7,11.2,23.0,63.5,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Feb,25.0,27.8,22.2,11.6,22.0,35.6,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Mar,25.6,28.9,23.3,12.1,26.0,25.4,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Apr,27.2,30.0,24.4,12.6,40.0,25.4,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",May,28.3,30.6,25.6,13.0,65.0,71.1,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Jun,28.3,31.1,26.1,13.2,83.0,139.7,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Jul,28.3,31.1,26.1,13.0,79.0,111.8,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Aug,28.3,31.1,26.1,12.7,78.0,104.1,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Sep,28.3,31.1,25.6,12.2,83.0,147.3,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Oct,27.2,30.0,24.4,11.7,71.0,160.0,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Nov,25.6,28.9,22.8,11.3,48.0,111.8,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Belize City, Belize",Dec,24.4,27.8,22.2,11.1,32.0,81.3,https://weatherspark.com/y/13042/Average-Weather-in-Belize-City-Belize-Year-Round
"Bodrum, Turkey",Jan,11.7,14.4,9.4,10.0,40.0,109.2,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Feb,11.7,14.4,9.4,10.9,39.0,104.1,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Mar,13.3,16.7,10.6,12.0,35.0,66.0,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Apr,16.7,20.0,13.3,13.2,32.0,35.6,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",May,20.6,24.4,17.2,14.2,24.0,17.8,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Jun,25.0,28.9,21.1,14.7,7.0,2.5,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Jul,27.2,31.7,23.3,14.4,1.0,0.0,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Aug,27.2,31.1,23.9,13.5,1.0,0.0,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Sep,24.4,27.8,21.1,12.4,11.0,12.7,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Oct,20.6,23.9,17.2,11.2,28.0,38.1,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Nov,16.1,18.9,13.9,10.2,38.0,86.4,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"Bodrum, Turkey",Dec,13.3,15.6,10.6,9.7,41.0,121.9,https://weatherspark.com/y/94296/Average-Weather-in-Bodrum-Turkey-Year-Round
"San Pedro La Laguna, Guatemala",Jan,15.6,22.8,10.0,11.4,23.0,2.5,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Feb,16.7,23.9,10.6,11.7,25.0,5.1,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Mar,17.8,25.0,11.7,12.1,32.0,17.8,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Apr,18.9,25.0,12.8,12.5,57.0,53.3,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",May,18.9,24.4,14.4,12.8,86.0,142.2,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Jun,18.3,23.3,14.4,13.0,94.0,236.2,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Jul,18.3,23.3,13.9,12.9,89.0,200.7,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Aug,18.3,23.3,13.9,12.6,89.0,215.9,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Sep,17.8,22.8,14.4,12.2,92.0,261.6,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Oct,17.8,22.8,13.9,11.8,83.0,190.5,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Nov,16.7,22.8,12.2,11.4,58.0,61.0,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"San Pedro La Laguna, Guatemala",Dec,16.1,22.8,10.6,11.3,33.0,10.2,https://weatherspark.com/y/11148/Average-Weather-in-San-Pedro-La-Laguna-Guatemala-Year-Round
"Medellín, Colombia",Jan,20.6,25.0,16.7,11.8,81.0,111.8,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Feb,20.6,25.0,17.2,11.9,85.0,116.8,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Mar,20.6,25.6,17.2,12.1,90.0,139.7,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Apr,21.1,25.6,17.8,12.3,94.0,236.2,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",May,21.1,25.6,17.8,12.4,95.0,266.7,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Jun,21.1,25.6,17.2,12.5,90.0,215.9,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Jul,20.6,25.6,16.7,12.4,86.0,190.5,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Aug,20.6,25.6,16.7,12.3,88.0,210.8,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Sep,20.6,25.6,16.7,12.1,92.0,231.1,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Oct,20.0,25.0,17.2,12.0,95.0,261.6,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Nov,20.6,25.0,17.2,11.8,94.0,236.2,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Medellín, Colombia",Dec,20.6,25.0,17.2,11.8,86.0,160.0,https://weatherspark.com/y/22535/Average-Weather-in-Medell%C3%ADn-Colombia-Year-Round
"Puno, Peru",Jan,10.0,15.0,5.6,12.9,83.0,63.5,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Feb,10.0,15.0,5.0,12.6,82.0,63.5,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Mar,9.4,15.0,4.4,12.2,76.0,43.2,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Apr,8.9,15.0,2.8,11.7,60.0,17.8,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",May,7.8,15.0,-0.6,11.4,45.0,2.5,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Jun,6.1,14.4,-3.3,11.2,39.0,2.5,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Jul,5.6,14.4,-3.9,11.3,31.0,0.0,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Aug,6.7,15.0,-2.2,11.6,33.0,2.5,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Sep,8.3,15.6,1.1,12.0,48.0,10.2,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Oct,10.0,16.1,3.9,12.5,62.0,15.2,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Nov,10.6,16.7,5.0,12.9,69.0,20.3,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Puno, Peru",Dec,10.0,16.1,5.6,13.1,77.0,35.6,https://weatherspark.com/y/26593/Average-Weather-in-Puno-Peru-Year-Round
"Arequipa, Peru",Jan,16.1,21.1,11.7,13.0,76.0,15.2,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Feb,16.1,21.1,12.2,12.6,78.0,17.8,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Mar,16.1,21.7,11.7,12.2,71.0,10.2,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Apr,16.1,22.2,11.1,11.7,53.0,2.5,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",May,15.6,22.2,10.0,11.3,39.0,0.0,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Jun,15.0,22.2,9.4,11.2,36.0,0.0,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Jul,15.0,21.7,8.9,11.3,29.0,0.0,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Aug,15.6,22.2,9.4,11.6,29.0,0.0,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Sep,16.1,22.8,10.0,12.0,38.0,0.0,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Oct,16.1,22.8,10.6,12.5,50.0,0.0,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Nov,16.1,22.2,10.6,12.9,57.0,0.0,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Arequipa, Peru",Dec,16.1,21.7,11.1,13.1,68.0,2.5,https://weatherspark.com/y/25845/Average-Weather-in-Arequipa-Peru-Year-Round
"Quetzaltenango, Guatemala",Jan,11.7,18.9,5.6,11.4,24.0,2.5,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Feb,12.2,20.0,6.1,11.7,26.0,5.1,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Mar,13.3,20.6,7.2,12.1,33.0,17.8,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Apr,14.4,21.1,8.9,12.5,59.0,53.3,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",May,14.4,20.0,10.0,12.8,87.0,142.2,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Jun,13.9,18.9,10.6,13.0,95.0,236.2,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Jul,13.9,18.9,10.0,12.9,91.0,198.1,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Aug,13.9,19.4,10.0,12.6,91.0,215.9,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Sep,13.9,18.9,10.6,12.2,94.0,264.2,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Oct,13.3,18.3,9.4,11.8,85.0,188.0,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Nov,12.8,18.9,7.8,11.4,60.0,61.0,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quetzaltenango, Guatemala",Dec,11.7,18.9,6.1,11.3,35.0,10.2,https://weatherspark.com/y/11183/Average-Weather-in-Quetzaltenango-Guatemala-Year-Round
"Quito, Ecuador",Jan,13.3,17.8,9.4,11.8,85.0,104.1,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
"Quito, Ecuador",Feb,13.3,17.8,9.4,11.9,90.0,129.5,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
"Quito, Ecuador",Mar,13.3,17.8,9.4,12.1,90.0,147.3,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
"Quito, Ecuador",Apr,13.3,17.8,9.4,12.3,87.0,160.0,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
"Quito, Ecuador",May,13.3,18.3,9.4,12.4,75.0,96.5,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
"Quito, Ecuador",Jun,13.3,18.3,8.9,12.5,60.0,40.6,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
"Quito, Ecuador",Jul,13.3,18.3,8.9,12.4,53.0,17.8,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
"Quito, Ecuador",Aug,13.3,18.9,8.9,12.3,54.0,15.2,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
"Quito, Ecuador",Sep,13.3,18.9,8.9,12.1,66.0,35.6,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
"Quito, Ecuador",Oct,12.8,18.3,8.9,12.0,79.0,58.4,https://weatherspark.com/y/20030/Average-Weather-in-Quito-Ecuador-Year-Round
