Requested location,Proxy source location,Month,Avg temp (°C),Avg high (°C),Avg low (°C),Daylight (h/day),Cloud cover (%),Rainfall (mm),Source URL
"Hegra, Saudi Arabia","Al-`Ula, Saudi Arabia",Jul,29.4,37.8,21.1,13.6,12,0.0,https://weatherspark.com/y/100173/Average-Weather-in-Al-%60Ula-Saudi-Arabia-Year-Round
"Hegra, Saudi Arabia","Al-`Ula, Saudi Arabia",Aug,30.0,37.8,21.7,13.0,10,0.0,https://weatherspark.com/y/100173/Average-Weather-in-Al-%60Ula-Saudi-Arabia-Year-Round
"Hegra, Saudi Arabia","Al-`Ula, Saudi Arabia",Sep,27.8,35.6,19.4,12.3,6,0.0,https://weatherspark.com/y/100173/Average-Weather-in-Al-%60Ula-Saudi-Arabia-Year-Round
"Hegra, Saudi Arabia","Al-`Ula, Saudi Arabia",Oct,23.9,31.7,15.6,11.5,14,0.0,https://weatherspark.com/y/100173/Average-Weather-in-Al-%60Ula-Saudi-Arabia-Year-Round
"Hegra, Saudi Arabia","Al-`Ula, Saudi Arabia",Nov,17.8,26.7,10.0,10.8,24,2.5,https://weatherspark.com/y/100173/Average-Weather-in-Al-%60Ula-Saudi-Arabia-Year-Round
"Hegra, Saudi Arabia","Al-`Ula, Saudi Arabia",Dec,13.3,22.2,5.6,10.5,27,2.5,https://weatherspark.com/y/100173/Average-Weather-in-Al-%60Ula-Saudi-Arabia-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Jan,15.0,20.6,10.6,15.1,48,124.5,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Feb,15.0,20.6,10.6,13.9,46,104.1,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Mar,12.8,17.8,8.9,12.3,48,109.2,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Apr,10.0,14.4,6.7,10.8,54,99.1,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",May,7.2,10.6,4.4,9.5,58,109.2,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Jun,4.4,7.8,2.2,8.9,55,106.7,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Jul,3.3,7.2,1.7,9.2,53,86.4,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Aug,5.0,8.9,2.8,10.3,52,94.0,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Sep,7.2,11.7,3.9,11.8,50,96.5,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Oct,8.9,14.4,5.6,13.4,49,111.8,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Nov,11.1,16.7,7.2,14.8,49,111.8,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Tekapo, New Zealand","Wanaka, New Zealand",Dec,13.3,18.9,8.9,15.5,51,129.5,https://weatherspark.com/y/144803/Average-Weather-in-Wanaka-New-Zealand-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Jan,27.2,30.0,25.0,12.1,86,119.4,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Feb,27.2,30.0,25.0,12.1,83,127.0,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Mar,27.2,30.0,25.0,12.1,81,142.2,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Apr,27.2,30.0,25.0,12.1,81,165.1,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",May,27.2,30.0,25.0,12.1,80,203.2,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Jun,26.7,29.4,24.4,12.1,83,223.5,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Jul,26.7,28.9,24.4,12.1,82,215.9,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Aug,26.7,29.4,24.4,12.1,80,190.5,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Sep,26.7,29.4,24.4,12.1,81,160.0,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Oct,27.2,30.0,25.0,12.1,82,137.2,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Nov,27.2,30.0,25.0,12.1,84,132.1,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Waigeo, Indonesia","Saonek, Indonesia",Dec,27.2,30.0,25.0,12.1,86,129.5,https://weatherspark.com/y/142860/Average-Weather-in-Saonek-Indonesia-Year-Round
"Malay, Philippines","Caticlan, Philippines",Jan,27.2,28.9,25.0,11.5,64,45.7,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Feb,27.2,28.9,25.0,11.8,58,30.5,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Mar,27.8,30.0,25.6,12.1,58,30.5,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Apr,28.9,31.1,26.7,12.4,68,48.3,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",May,28.9,31.1,26.7,12.7,86,139.7,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Jun,28.3,30.6,26.1,12.8,92,276.9,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Jul,27.8,30.0,26.1,12.7,93,317.5,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Aug,27.8,30.0,26.1,12.5,93,307.3,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Sep,27.8,30.0,25.6,12.2,92,274.3,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Oct,27.8,30.0,25.6,11.9,87,256.5,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Nov,28.3,30.6,26.1,11.6,80,175.3,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
"Malay, Philippines","Caticlan, Philippines",Dec,27.8,29.4,25.6,11.4,70,114.3,https://weatherspark.com/y/136508/Average-Weather-in-Caticlan-Philippines-Year-Round
