Location,Month,Avg temp (°C),Avg high (°C),Avg low (°C),Daylight (h/day),Cloud cover (%),Rainfall (mm),Source URL
"Kanazawa, Japan",July,25,28,22,14.4,63,180,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",August,27,30,23,13.5,53,130,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",September,22,26,19,12.4,51,175,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",October,17,21,13,11.2,43,137,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",November,11,14,8,10.2,47,155,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Kanazawa, Japan",December,6,9,3,9.7,61,168,https://weatherspark.com/y/143553/Average-Weather-in-Kanazawa-Japan-Year-Round
"Siem Reap, Cambodia",January,26,31,22,11.4,47,5,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",February,28,32,23,11.7,47,13,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",March,29,34,26,12.1,60,28,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",April,31,35,27,12.4,81,56,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",May,30,34,27,12.8,89,117,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",June,29,32,27,12.9,91,168,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",July,28,31,26,12.8,91,180,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",August,28,31,26,12.5,92,206,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",September,28,31,26,12.2,89,216,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",October,28,30,26,11.8,79,117,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",November,27,30,24,11.5,63,30,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Siem Reap, Cambodia",December,25,29,22,11.4,49,5,https://weatherspark.com/y/114683/Average-Weather-in-Siem-Reap-Cambodia-Year-Round
"Thimphu, Bhutan",January,5,12,-3,10.6,15,25,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",February,8,14,1,11.2,18,33,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",March,10,16,4,12,24,31,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",April,14,20,7,12.8,35,58,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",May,18,22,13,13.5,49,122,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",June,20,24,15,13.9,68,246,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",July,20,25,15,13.7,86,373,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",August,20,25,16,13.1,84,345,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",September,19,23,15,12.3,72,155,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",October,16,22,10,11.5,35,38,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",November,11,18,5,10.8,18,8,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Thimphu, Bhutan",December,7,14,-1,10.4,15,13,https://www.weather-atlas.com/en/bhutan/thimphu-climate
"Pokhara, Nepal",January,12,19,8,10.6,15,10,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",February,14,22,9,11.2,17,10,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",March,18,26,12,12,19,10,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",April,23,30,16,12.9,18,15,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",May,26,32,19,13.6,12,41,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",June,27,32,22,13.9,34,122,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",July,26,30,23,13.7,74,213,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",August,26,29,23,13.1,78,175,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",September,24,28,21,12.3,47,117,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",October,21,26,17,11.5,13,41,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",November,17,23,13,10.7,9,5,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Pokhara, Nepal",December,14,21,10,10.4,14,5,https://weatherspark.com/y/110770/Average-Weather-in-Pokhara-Nepal-Year-Round
"Galle, Sri Lanka",January,27,30,24,11.8,65,61,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",February,28,31,25,11.9,60,46,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",March,28,31,26,12.1,62,64,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",April,28,31,26,12.3,75,117,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",May,29,31,27,12.4,86,135,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",June,28,30,27,12.5,88,86,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",July,28,30,27,12.4,88,58,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",August,28,29,27,12.3,86,66,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",September,28,29,26,12.1,81,102,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",October,28,30,26,12,80,170,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",November,27,30,25,11.8,78,201,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Galle, Sri Lanka",December,27,30,24,11.8,72,119,https://weatherspark.com/y/110081/Average-Weather-in-Galle-Sri-Lanka-Year-Round
"Aqaba, Jordan",January,15,21,10,10.5,23,8,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",February,17,22,12,11.2,21,5,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",March,20,26,14,12,20,5,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",April,24,31,18,12.9,23,3,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",May,29,35,22,13.7,19,0,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",June,32,38,25,14,3,0,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",July,33,39,27,13.8,2,0,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",August,33,39,27,13.2,1,0,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",September,31,36,25,12.3,2,3,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",October,27,32,22,11.4,13,3,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",November,21,27,16,10.7,24,3,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Aqaba, Jordan",December,16,22,12,10.3,27,5,https://weatherspark.com/y/98737/Average-Weather-in-Aqaba-Jordan-Year-Round
"Fès, Morocco",January,11,16,6,10.2,40,79,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",February,12,17,7,11,40,74,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",March,14,20,8,12,39,64,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",April,16,22,10,13.1,37,56,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",May,19,26,13,14,33,33,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",June,24,31,17,14.4,19,10,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",July,27,35,19,14.1,8,3,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",August,27,35,20,13.4,13,5,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",September,24,31,18,12.3,32,18,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",October,20,26,14,11.3,42,48,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",November,15,21,10,10.4,42,84,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Fès, Morocco",December,12,17,7,9.9,41,84,https://weatherspark.com/y/34063/Average-Weather-in-F%C3%A8s-Morocco-Year-Round
"Maribor, Slovenia",January,-1,3,-4,9.1,56,18,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",February,1,6,-3,10.4,55,25,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",March,6,11,1,12,55,38,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",April,11,16,5,13.6,54,51,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",May,15,21,9,15.1,50,69,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",June,18,24,13,15.8,43,86,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",July,21,26,14,15.4,33,81,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",August,19,25,14,14.1,34,84,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",September,16,21,10,12.5,43,89,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",October,11,15,6,10.8,52,74,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",November,4,8,1,9.4,60,56,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Maribor, Slovenia",December,1,4,-3,8.6,59,33,https://weatherspark.com/y/79279/Average-Weather-in-Maribor-Slovenia-Year-Round
"Shkodër, Albania",January,6,10,2,9.5,52,102,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",February,7,12,3,10.6,52,107,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",March,11,15,6,12,51,91,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",April,14,19,10,13.4,48,86,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",May,19,24,14,14.6,42,56,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",June,23,28,18,15.2,26,41,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",July,27,32,21,14.9,12,23,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",August,26,31,21,13.8,16,33,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",September,22,27,17,12.4,31,81,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",October,16,21,12,11,44,109,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",November,11,15,7,9.8,52,137,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Shkodër, Albania",December,7,11,3,9.2,54,122,https://weatherspark.com/y/84405/Average-Weather-in-Shkod%C3%ABr-Albania-Year-Round
"Skopje, North Macedonia",January,1,5,-3,9.5,47,28,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",February,3,8,-2,10.6,49,30,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",March,7,13,2,12,47,38,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",April,12,18,6,13.4,46,46,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",May,17,23,11,14.6,41,43,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",June,21,28,14,15.2,25,38,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",July,23,31,16,14.9,13,28,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",August,23,31,16,13.8,16,28,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",September,19,26,12,12.4,30,46,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",October,13,19,7,11,42,58,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",November,7,12,2,9.8,48,61,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Skopje, North Macedonia",December,2,6,-2,9.2,49,38,https://weatherspark.com/y/86779/Average-Weather-in-Skopje-Macedonia-Year-Round
"Prizren, Kosovo",January,1,5,-3,9.5,50,38,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",February,3,7,-2,10.6,51,41,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",March,7,12,2,12,50,46,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",April,12,17,6,13.4,49,53,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",May,16,22,10,14.6,44,48,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",June,20,26,13,15.2,27,41,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",July,22,29,16,14.9,13,30,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",August,22,29,15,13.8,17,30,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",September,18,24,12,12.4,32,53,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",October,12,18,7,11,44,66,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",November,7,12,2,9.8,51,74,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Prizren, Kosovo",December,2,6,-1,9.2,52,51,https://weatherspark.com/y/85677/Average-Weather-in-Prizren-Kosovo-Year-Round
"Pejë, Kosovo",January,0,4,-3,9.5,51,48,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",February,2,6,-2,10.6,52,51,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",March,6,11,2,12,51,53,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",April,11,16,6,13.4,50,64,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",May,15,21,9,14.7,45,56,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",June,19,24,13,15.3,29,48,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",July,21,27,15,14.9,15,38,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",August,21,27,14,13.8,18,38,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",September,17,23,11,12.4,34,66,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",October,12,17,7,11,46,76,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",November,6,10,2,9.7,53,86,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Pejë, Kosovo",December,1,5,-2,9.1,53,64,https://weatherspark.com/y/85680/Average-Weather-in-Pej%C3%AB-Kosovo-Year-Round
"Udaipur, India",January,17,26,9,10.8,15,3,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",February,19,29,11,11.3,13,3,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",March,24,34,16,12,19,3,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",April,29,38,21,12.8,20,5,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",May,32,40,24,13.4,15,10,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",June,32,38,25,13.6,38,58,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",July,28,33,23,13.5,68,173,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",August,26,30,22,13,68,163,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",September,26,32,21,12.3,37,74,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",October,25,32,18,11.6,14,13,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",November,21,30,14,10.9,14,3,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"Udaipur, India",December,18,27,11,10.6,17,3,https://weatherspark.com/y/107665/Average-Weather-in-Udaipur-Rajasthan-India-Year-Round
"San Pedro de Atacama, Chile",January,18,27,9,13.4,31,5,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",February,18,26,9,12.8,28,5,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",March,17,26,8,12.2,21,3,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",April,14,24,6,11.5,18,0,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",May,12,22,4,11,16,0,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",June,10,20,2,10.7,15,0,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",July,9,20,1,10.9,12,0,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",August,11,21,3,11.4,10,0,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",September,13,23,4,12,10,0,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",October,15,24,5,12.7,16,0,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",November,17,26,6,13.2,20,0,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"San Pedro de Atacama, Chile",December,18,27,8,13.5,26,0,https://weatherspark.com/y/27339/Average-Weather-in-San-Pedro-de-Atacama-Chile-Year-Round
"Bukhara, Uzbekistan",January,2,7,-2,9.7,51,8,https://weatherspark.com/y/106261/Average-Weather-in-Bukhara-Uzbekistan-Year-Round
"Bukhara, Uzbekistan",February,4,9,-1,10.7,48,10,https://weatherspark.com/y/106261/Average-Weather-in-Bukhara-Uzbekistan-Year-Round
"Bukhara, Uzbekistan",March,10,16,4,12,47,18,https://weatherspark.com/y/106261/Average-Weather-in-Bukhara-Uzbekistan-Year-Round
"Bukhara, Uzbekistan",April,17,24,10,13.3,39,13,https://weatherspark.com/y/106261/Average-Weather-in-Bukhara-Uzbekistan-Year-Round
"Bukhara, Uzbekistan",May,23,30,15,14.4,25,8,https://weatherspark.com/y/106261/Average-Weather-in-Bukhara-Uzbekistan-Year-Round
